cname_qog,year,br_elect,ht_region,act_act,cckp_rain,cckp_temp,wdi_co2,fao_luagr,fao_luforest,epi_cda,epi_msw,epi_uwd
Gambia,2015,2,4,1,82.0666666666667,28.1416666666667,0.251397984524369,59.7799987792969,26.8099994659424,25.207839277939,0,18.0047728889929
Germany,2015,3,5,1,53.3666666666667,10.3333333333333,8.90041929882487,47.9599990844727,32.7299995422363,65.8131785267177,97.938,97.3596829487408
Ghana,2015,3,4,1,88.6,27.975,0.594373807079951,65.370002746582,34.6300010681152,19.7598435018017,0,17.4796285229505
Kiribati,2015,3,9,1,87.9916666666667,27.4916666666667,0.561967006220139,41.9799995422363,1.46000003814697,41.3237311961703,0,13.2521160469269
Greece,2015,3,5,1,58.5666666666667,14.3416666666667,6.01244038956895,48.0900001525879,30.2700004577637,58.0427520928148,83,100
Grenada,2015,3,10,1,92.1666666666667,27.6083333333333,2.37554174764368,23.5300006866455,52.060001373291,50.5437786640816,78.8399999917863,44.712980663608
Guatemala,2015,3,2,1,205.266666666667,24.175,1.01713109925287,35.9799995422363,33.4599990844727,37.3591379555433,16.6176000008381,24.5837397620466
Guinea,2015,3,4,1,147.708333333333,26.3416666666667,0.23640292132111,59.0099983215332,26,33.2413389678485,2.5,8.33750318318431
Guyana,2015,3,10,0,175.241666666667,26.5833333333333,2.62805043313284,6.21999979019165,93.7799987792969,30.5220207982071,44.1760400002231,31.2542014180281
Haiti,2015,2,2,1,108.158333333333,25.725,0.274282500129493,66.7600021362305,13.1700000762939,42.1556300397231,0.874719999897136,11.8349772121095
Honduras,2015,3,2,0,150.233333333333,24.3916666666667,1.09934558817397,29.6700000762939,57.7700004577637,40.6301125688815,40.2695999922103,28.2698310841997
Hungary,2015,3,1,1,47.5,12.0333333333333,4.51267343748286,57.6800003051758,22.5799999237061,74.2699751288394,89.1584728017241,58.8936627959208
Iceland,2015,3,5,1,97.9,1.88333333333333,6.00793192569865,18.6700000762939,0.479999989271164,46.3088216398981,84.802,100
India,2015,3,8,0,90.0833333333333,24.7416666666667,1.78433376502382,60.4300003051758,23.8199996948242,22.4215133171698,16.0999999928742,15.1103282030271
Indonesia,2015,3,7,1,212.666666666667,26.3,1.98445241358829,31.6299991607666,52.4599990844727,35.4910435376116,49.76,22.7531902236448
